"ID","MDS1","MDS2","mouse","challengeday","week","sampletype","treatment","sex","cage","Lg","La"
"248-2-d14-Lg-fe",1.47256021690394,-0.0623841706495772,2,"day14","Week 3","feces","lg","M",248,"positive","none"
"248-3-d14-Lg-fe",1.44253605988092,0.00993405920681572,3,"day14","Week 3","feces","lg","M",248,"positive","none"
"248-4-d14-Lg-fe",1.38818873305169,-0.0384664910564866,4,"day14","Week 3","feces","lg","M",248,"positive","none"
"249-1-d21-No-fe",-0.151104583705696,-0.598043453669353,1,"day21","Week 4","feces","cef","M",249,"none","none"
"249-2-d21-No-fe",0.29318150893889,-0.409193818309013,2,"day21","Week 4","feces","cef","M",249,"none","none"
"249-3-d21-No-fe",0.193398670365811,-0.474723293505761,3,"day21","Week 4","feces","cef","M",249,"none","none"
"249-4-d21-No-fe",-0.0763960496877288,-0.572497456913204,4,"day21","Week 4","feces","cef","M",249,"none","none"
"250-1-d21-Cd-fe",0.322487241610294,0.0125480226321264,1,"day21","Week 4","feces","cdiff","M",250,"negative","negative"
"250-2-d21-Cd-fe",0.0959120635058161,0.191325255276257,2,"day21","Week 4","feces","cdiff","M",250,"negative","negative"
"250-3-d21-Cd-fe",0.0407478948766272,-0.161405558078622,3,"day21","Week 4","feces","cdiff","M",250,"negative","negative"
"250-4-d21-Cd-fe",0.313374440420462,-0.0174814388871002,4,"day21","Week 4","feces","cdiff","M",250,"negative","negative"
"251-1-d21-La-fe",0.252545051314885,0.545347507057041,1,"day21","Week 4","feces","la","M",251,"none","positive"
"251-2-d21-La-fe",0.469602287558234,0.202495870247591,2,"day21","Week 4","feces","la","M",251,"none","positive"
"251-3-d21-La-fe",0.46460761927073,0.28733072906756,3,"day21","Week 4","feces","la","M",251,"none","positive"
"251-4-d21-La-fe",0.324169953433447,0.349339760158103,4,"day21","Week 4","feces","la","M",251,"none","positive"
"252-1-d21-Lg-fe",-0.705302682369005,0.0540584391527959,1,"day21","Week 4","feces","lg","M",252,"positive","none"
"252-2-d21-Lg-fe",-0.65075771284123,0.190435876050453,2,"day21","Week 4","feces","lg","M",252,"positive","none"
"252-3-d21-Lg-fe",-0.532296629166205,0.0968280776896932,3,"day21","Week 4","feces","lg","M",252,"positive","none"
"252-4-d21-Lg-fe",-0.654169073525331,0.303635482031432,4,"day21","Week 4","feces","lg","M",252,"positive","none"
"237-1-d0-No-ce",-0.61351477161851,-0.662603170944703,1,"day0","Week 1","cecum","cef","M",237,"none","none"
"237-2-d0-No-ce",-0.594278466615964,-0.648483982502212,2,"day0","Week 1","cecum","cef","M",237,"none","none"
"237-3-d0-No-ce",-0.402936025158391,-0.823843115864483,3,"day0","Week 1","cecum","cef","M",237,"none","none"
"237-4-d0-No-ce",-0.502315445671545,-0.680210616681466,4,"day0","Week 1","cecum","cef","M",237,"none","none"
"238-1-d0-Cd-ce",-0.490182571975052,0.627641824328696,1,"day0","Week 1","cecum","cdiff","M",238,"negative","negative"
