"ID","Shannon","InvSimpson","mouse","challengeday","week","sampletype","treatment","sex","cage","Lg","La"
"240-4-d0-Lg-fe",0.0139076374752372,1.00294060698903,4,"day0","Week 1","feces","lg","M",240,"positive","none"
"240-4-d0-Lg-il",0.484494751106727,1.38680081975017,4,"day0","Week 1","ileum","lg","M",240,"positive","none"
"241-1-d7-No-ce",3.81031142809504,24.5295241799048,1,"day7","Week 2","cecum","cef","M",241,"none","none"
"241-1-d7-No-fe",2.21347031381148,4.36729564539148,1,"day7","Week 2","feces","cef","M",241,"none","none"
"241-1-d7-No-il",2.70357270094352,7.17978678972469,1,"day7","Week 2","ileum","cef","M",241,"none","none"
"241-2-d7-No-ce",3.72235063930105,17.4581024695955,2,"day7","Week 2","cecum","cef","M",241,"none","none"
"241-2-d7-No-fe",2.57021630488754,5.70686781250997,2,"day7","Week 2","feces","cef","M",241,"none","none"
"241-2-d7-No-il",3.08285232175619,11.541779154266,2,"day7","Week 2","ileum","cef","M",241,"none","none"
"241-3-d7-No-ce",3.87005890470148,30.3983891240759,3,"day7","Week 2","cecum","cef","M",241,"none","none"
"241-3-d7-No-fe",2.36237668402341,4.88511221789897,3,"day7","Week 2","feces","cef","M",241,"none","none"
"241-3-d7-No-il",2.86209736937998,8.29831728766018,3,"day7","Week 2","ileum","cef","M",241,"none","none"
"241-4-d7-No-ce",3.74145743118023,20.8665287372204,4,"day7","Week 2","cecum","cef","M",241,"none","none"
"241-4-d7-No-fe",2.48287498648475,5.62918225294772,4,"day7","Week 2","feces","cef","M",241,"none","none"
"241-4-d7-No-il",2.15517435327715,4.02649092055667,4,"day7","Week 2","ileum","cef","M",241,"none","none"
"242-1-d7-Cd-ce",2.62763010567846,6.36352108291368,1,"day7","Week 2","cecum","cdiff","M",242,"negative","negative"
"242-1-d7-Cd-fe",2.33363007249618,7.05458516188871,1,"day7","Week 2","feces","cdiff","M",242,"negative","negative"
